Como você se define,"Se outro, qual?",Como você se identifica?,"Se outro, qual?.1","Faz parte da população T (pessoa transgênera, travesti)?",Orientação sexual:,"Se outro, qual?.2",Pessoa com necessidades específicas?,"Se sim, qual?",Em qual UF você reside?,Em qual país você reside?,De quais edições da Python Brasil você já participou?,Você já participou de algum outro evento Python?,Você participou de outros eventos online durante a pandemia de covid-19?,Há quanto tempo você programa em Python?,Como você classificaria seu nível de conhecimento em Python?,Você é estudante?,Você trabalha com Python?,"Você pretende submeter alguma atividades (palestra, tutorial) para a Python Brasil?","Você faz parte de alguma comunidade local? (grupy, PUG, PyLadies, AfroPython)","Se sim, qual?.1",extract_date
Uma pessoa negra,,Mulher,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Há mais de um ano,Iniciante,"Sim, graduação ou tecnólogo",Sim,"Não, vou apenas para participar",Sim,grupy-RP e PyLadies-RP,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [13] - 2017 - Belo Horizonte - MG,"Sim, eventos locais | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Não,Há mais de três anos,Intermediário,Não,Sim,"Não, vou apenas para participar",Sim,grupy-rp,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,PA,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de três anos,Intermediário,"Sim, graduação ou tecnólogo",Sim,Com certeza!,Sim,Grupy Belém,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,PE,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de um ano,Intermediário,"Sim, graduação ou tecnólogo","Não, mas pretendo","Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Comecei no último ano,Iniciante,"Sim, pós-graduação ou especialização",Não,Com certeza!,Não,,2020-11-10
Uma pessoa amarela,,Mulher,,Não,Bisexual,,Não,,SP,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Há mais de um ano,Iniciante,"Sim, graduação ou tecnólogo",Sim,"Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,BA,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Há mais de um ano,Iniciante,"Sim, graduação ou tecnólogo",Não,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,Não moro no Brasil,Portugal,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Há mais de três anos,Intermediário,Não,Sim,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de um ano,Intermediário,"Sim, ensino fundamental ou médio",Sim,"Não, vou apenas para participar",Não,,2020-11-10
Prefiro não responder,,Prefiro não responder,,Prefiro não responder,Prefiro não responder,,Não,,SP,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Há mais de três anos,Intermediário,"Sim, pós-graduação ou especialização",Sim,"Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
